properties_id,keyset,Console
41814,568,"2/81KENT - Kent Rd, 81, 2"
38230,56,"3/81KENT - Kent Rd, 81, 3"
50875,334,"5/204KEN - Kent St, 204, 5"
9095,471,"8KEVP - Kevpat Close, 8"
2277,555,"22KOO - Koorong St, 22"
12359,316,"71Koor2 - Koorong Street, 71"
41120,333,"9KRUSE - Kruse Pl, 9"
29419,386,"8/45LAC - Lacey Rd, 45, 8"
8968,294,"38/153L - Lambert St, 153, 38"
43497,544,"71LAM - Lamont Rd, 71"
1190,76,"265LANC - Lancaster Rd, 265"
108,411,"6LARUM - Laruma St, 6"
34806,64,"4/30LEM - Lemnos St, 30, 4"
47668,585,"6/30LEMN - Lemnos St, 30, 6"
14411,231,"51LES - Leslie St, 51"
8429,407,"39LEWI - Lewin St, 39"
7690,353,"37LILLEY - Lilley St, 37"
895,258,"1/51LIN - Lindsay St, 51, 1"
17298,382,"13LINDS - Lindsay St, 13"
17308,354,"25LIND - Lindsay St, 25"
906,339,"3/51LIN - Lindsay St, 51, 3"
916,142,"4/51LIN2 - Lindsay St, 51, 4"
14565,305,"78LIZZ - Lizzie St, 78"
4867,282,"52LOCK - Lockerbie St, 52"
40883,222,"20/99LOC - Lockrose St, 99, 20"
22081,522,"23LOMAT - Lomatta Street, 23"
43334,545,"4/10LUC - Lucinda St, 10, 4"
30060,383,"1/73LUGG - Lugg St, 73, 1"
29231,235,"2/73LUGG - Lugg Street, 73, 2"
40878,283,"3/73LUGG - Lugg St, 73, 3"
40879,244,"4/73LUGG - Lugg St, 73, 4"
52880,182,"10LYNE - Lynelle St, 10"
41957,574,"4/235MAI - Main St, 235, 4"
40961,446,"22MALACH - Malachite Street, 22"
8172,566,"18MARE - Mareeba Rd, 18"
17376,155,"29MAREE - Mareeba Rd, 29"
17368,26,"7Mare - Mareeba Rd, 7"
675,284,"97MAREE - Mareeba Rd, 97"
52168,54,"19MARK - Market St, 19"
34875,187,"13MASON - Mason St, 13"
31457,403,"34MAST - Masthead St, 34"
17401,631,"10MATL - Matlock St, 10"
1956,131,"14MATLOC - Matlock St, 14"
28486,27,"4/89MAY - Maygar St, 89, 4"
50308,103,"5/89MAY - Maygar Street, 89, 5"
17414,163,"28McCO - McCormack Ave, 28"
17433,621,"16MCLE - McLean Pde, 16"
337,95,"70MCLEAN - McLean Pde, 70"
2857,572,"90MCLE - McLean Pde, 90"
40985,123,"5/150MEA - Meadowlands Rd, 150, 5"
2697,374,"61MICHAE - Michaela Crescent, 61"
4926,290,"2/36MILE - Miles St, 36, 2"
7084,291,"46MIRR - Mirrabooka Rd, 46"
7857,23,"1/49MISK - Miskin St, 49, 1"
51039,630,"2/11MITC - Mitcham St, 11, 2"
40805,629,"66MONT - Montpelier St, 66"
3405,521,"26MONTRO - Montrose Place, 26"
7305,532,"39MONT - Montrose Plc, 39"
22186,418,"4MONTROS - Montrose Place, 4"
12279,233,"21MOON - Moonya St, 21"
14754,228,"24MOON - Moonya St, 24"
12013,596,"27MOON - Moonya St, 27"
28738,191,"45MOORE - Moore St, 45"
52203,556,"49MOOR - Moore St, 49"
38026,392,"7MOORE - Moore St, 7"
4866,467,"53MORABY - Moraby Street, 53"
28943,370,"2/16MORR - Morris St, 16, 2"
40889,121,"7/10MO - Morris St, 10, 7"
17562,459,"17MOSS - Mossvale St, 17"
22209,410,"5MOYGARA - Moygara Street, 5"
34940,427,"9/104MUS - Musgrave Rd, 104, 9"
17600,19,"29MYAG - Myagah Rd, 29"
4895,113,"52MYAG - Myagah Rd, 52"
37938,397,"8NAIRN - Nairn St, 8"
12299,239,"32NAMB - Nambruk St, 32"
48318,21,"1/5NATH - Nathan Ave, 5, 1"
9230,35,"1/6NATH - Nathan Ave, 6, 1"
1349,487,"10NATH - Nathan Ave, 10"
52713,59,"10/40NAT - Nathan Ave, 40, 10"
24974,202,"106/32NA - Nathan Av, 32, 106"
48319,341,"1ENATH - Nathan Ave, 1E"
29628,133,"2/5NATH - Nathan Ave, 5, 2"
24982,435,"201/22NA - Nathan Ave, 22, 201"
400,212,"26/40NA - Nathan Ave, 40, 26"
24980,1,"306/22NA - Nathan Ave, 22, 306"
2206,65,"4/40NATH - Nathan Ave, 40, 4"
25143,205,"46/40NAT - Nathan Ave, 40, 46"
41092,436,"14NEWB - Newbery st, 14"
1183,160,"100NEWM - Newman Ave, 100"
51666,242,"155NIN - Ninth Ave, 155"
17620,612,"9NOEL - Noeline St, 9"
51267,640,"1/50NORM - Norman Avenue, 50, 1"
51268,641,"2/50NORM - Norman Avenue, 50, 2"
40493,549,"3/50NORM - Norman Avenue, 50, 3"
51269,642,"4/50NORM - Norman Avenue, 50, 4"
1327,74,"10NOR - Norman Tce, 10"
40481,443,"156NOR - North Quay Hotel, 293, 156"
12726,438,"157NOR - North Quay Hotel, 293, 157"
50004,179,"6/9NORT - North St, 9, 6"
22292,137,"3OANA - Oana St, 3"
22294,491,"6OANA - Oana Street, 6"
4065,518,"25OLEA - Oleander Drv, 25"
4702,536,"30OLEAN - Oleander Drv, 30"
29794,376,"38/14PAL - Paltarra Street, 14, 38"
2236,286,"55/14PAL - Paltarra St, 14, 55"
17700,189,"10PANO - Panorama St, 10"
22329,377,"11PARA - Paraka Street, 11"
42705,43,"55PARK - Park St, 55"
41661,263,"57PARK - Park St, 57"
43901,548,"3101/3PA - Parkland Blv, 3, 3101"
22333,527,"42PARKSI - Parkside Crescent, 42"
29171,576,"16PASC - Pascal St, 16"
22380,355,"58PATE - Paten Rd, 58"
42946,219,"215PATR - Patricks Rd, 215"
17737,391,"7PAV - Pavonia Street, 7"
521,241,"1/156PA - Payne Rd, 156, 1"
8541,472,"40PETMAR - Petmar Street, 40"
12341,455,"42PETMAR - Petmar Street, 42"
7620,580,"55PET - Petmar St, 55"
36452,611,"4/219PIC - Pickering St, 219, 4"
41769,183,"4/245PIC - Pickering St, 245, 4"
9273,39,"21PICOT - Picot Street, 21"
17758,605,"22PI - Piddington St, 22"
1367,330,"7PIND - Pindari St, 7"
22606,302,"17PIRRIE - Pirrie Street, 17"
22609,468,"34PIRRIE - Pirrie Street, 34"
40700,255,"87/51PLA - Playfield St, 51, 87"
331,48,"2/34PRA - Praed St, 34, 2"
765,312,"3/34PRA - Praed St, 34, 3"
24864,349,"4/34PRA - Praed St, 34, 4"
31447,400,"19PRAE - Praeger St, 19"
41052,6,"10/17PRA - Pratt St, 19, 10/17"
133,610,"16PRIMR - Primrose Tce, 16"
33591,70,"41BPRINC - Prince St, 41B"
31407,83,"41CPRIN - Prince St, 41C"
22619,4,"22QUIRK - Quirk Street, 22"
40155,413,"712/41RA - Ramsgate St, 41, 712"
23347,315,"16RICHWI - Richwill Street, 16"
23352,343,"27RICH - Richwill St, 27"
679,237,"4ARICH - Richwill St, 4a"
41114,224,"1/46RIDG - Ridge St, 46, 1"
12824,238,"2/46RIDG - Ridge St, 46, 2"
29718,356,"29RIDGE - Ridgeway Street, 29"
28804,164,"1/102ROC - Rockbourne Tce, 102, 1"
26885,326,"9/102R - Rockbourne Tce, 102, 9"
814,320,"26ROMEA - Romea St, 26"
2390,100,"35ROMEA - Romea St, 35"
41050,172,"9/24ROSE - Rosemount Tce, 24, 9"
15020,180,"1/36ROSE - Rosewood St, 36, 1"
759,608,"2/36ROSE - Rosewood St, 36, 2"
17883,550,"5/43ROY - Roy St, 43, 5"
17896,525,"14ROYA - Royal Pde, 14"
17924,547,"92ROY - Royal Pde, 92"
29441,399,"39RUSD - Rusden St, 39"
31076,378,"8/30SALE - Sale Yards Ln, 30, 8"
41059,107,"1/1-7SAY - Sayers St, 1, 1"
31075,111,"2/1-7SAY - Sayers St, 1, 2"
41125,116,"3/1-7SAY - Sayers St, 1, 3"
8795,249,"21SCHOO - School Rd, 21"
8688,132,"25SCHO - School Rd, 25"
23454,501,"71SCHOOL - School Road, 71"
48094,441,"12/18SEA - Seal St, 18, 12"
40906,379,"30ASETT - Settlement Road, 30A"
52875,196,"7/16SEVE - Seven Oaks St, 16, 7"
6103,482,"27SHIRLE - Shirley St, 27"
15343,188,"32SIXT - Sixth Ave, 32"
4051,118,"47SIXT - Sixth Ave, 47"
52817,636,"2/53SOME - Somerset St, 53, 2"
41356,477,"775SOUTH - South Pine Rd, 775"
7462,454,"3/36STOS - St Osyth St, 36, 3"
18019,619,"23STVIN - St Vincent St, 23"
1027,534,"41STVI - St Vincent St, 41"
18036,198,"60STVIN - St Vincent St, 60"
52440,622,"1/12STAF - Stafford Rd, 12, 1"
52441,623,"2/12STAF - Stafford Rd, 12, 2"
52442,624,"3/12STAF - Stafford Rd, 12, 3"
52443,625,"4/12STAF - Stafford Rd, 12, 4"
52444,626,"5/12STAF - Stafford Rd, 12, 5"
52445,627,"6/12STAF - Stafford Rd, 12, 6"
30951,559,"41STAFF - Stafford St, 41"
1005,28,"65STEV - Stevenson St, 65"
18060,387,"4STEW - Stewart Plc, 4"
28377,69,"2/47STEW - Stewart Rd, 47, 2"
18101,637,"82STEW - Stewart Rd, 82"
18107,68,"93STEWAR - Stewart Rd, 93"
40888,508,"53STRATH - Strathmere Place, 53"
44294,569,"2205/1ST - Stuartholme Rd, 1, 2205"
15450,159,"92STUA - Stuartholme Rd, 92"
37863,480,"3/16SU - Suez St, 16, 3"
40917,51,"1/47SWAN - Swann Rd, 47, 1"
18169,388,"14TEALE - Teale Street, 14"
851,304,"29TEROM - Teroma St, 29"
808,409,"3/24TE - Terrace St, 24, 3"
4811,416,"4/24TE - Terrace St, 24, 4"
15498,126,"52THEDR - The Drive, 52"
696,264,"1/33TH - The Esplanade, 33, 1"
23598,293,"46TILQUI - Tilquin Street, 46"
41106,259,"5TOMB - Tombondan Crs, 5"
41096,452,"29TONLEG - Tonlegee Street, 29"
23635,461,"12TOOLAR - Toolara Street, 12"
40452,408,"1/15TRAC - Trackson St, 15, 1"
28778,364,"1/16TRAC - Trackson St, 16, 1"
3346,273,"19TREBON - Trebonne Street, 19"
4916,563,"6TREBO - Trebonne St, 6"
42157,401,"8TREV - Trevor St, 8"
18272,22,"21TRIND - Trinder Rd, 21"
18275,584,"40TRIN - Trinder Rd, 40"
18277,595,"44TRIN - Trinder Rd, 44"
9286,79,"1/17TROU - Trout St, 17, 1"
18309,11,"2/32TROU - Trout St, 32, 2"
18321,127,"4/36TROU - Trout St, 36, 4"
18290,434,"7/10TROU - Trout St, 10, 7"
2220,460,"8/10TROU - Trout St, 10, 8"
31553,437,"1/28TRUN - Trundle St, 28, 1"
48563,317,"75AUPP - Upper Cairns Tce, 75A"
48564,335,"75BUPPE - Upper Cairns Tce, 75B"
18372,500,"12URALLA - Uralla St, 12"
18390,321,"16VEN - Venus Street, 16"
12763,234,"3/25VERN - Vernon st, 25, 3"
12476,89,"4/25VERN - Vernon St, 25, 4"
31560,218,"105/6VIC - Victoria St, 6, 105"
41893,20,"8VICTO - Victoria St, 8"
12322,570,"17VIR - Virae St, 17"
31482,426,"13WALT - Walter St, 13"
594,620,"39WARA - Warana St, 39"
164,215,"11WARD - Ward st, 11"
41078,367,"2/15WA - Ward St, 15, 2"
30514,306,"1/63WARD - Wardell St, 63, 1"
18520,226,"123WAR2 - Wardell St, 123"
4788,565,"151WARD - Wardell St, 151"
18478,444,"51WARD - Wardell St, 51"
23756,573,"28WARR - Warruga St, 28"
12723,319,"37WARRU - Warruga Street, 37"
9091,344,"1/123WAT - Waterworks Rd, 123, 1"
31479,120,"1/263WAT - Waterworks Rd, 263, 1"
43528,287,"1/498WAT - Waterworks Rd, 498, 1"
29838,267,"1/834WAT - Waterworks Rd, 834, 1"
2397,67,"10/1060W - Waterworks Rd, 1060, 10"
24079,421,"1129WATE - Waterworks Road, 1129"
24110,635,"1158WATE - Waterworks Rd, 1158"
24144,618,"1218WATE - Waterworks Rd, 1218"
40745,519,"1220aWAT - Waterworks Road, 1220a"
40747,513,"1220bWAT - Waterworks Rd, 1220b"
24152,73,"1222aWAT - Waterworks Rd, 1222a"
52801,597,"1222bWAT - Waterworks Rd, 1222b"
8149,473,"1231WAT - Waterworks Rd, 1231"
2724,537,"1234WATE - Waterworks Rd, 1234"
24163,592,"1254WAT - Waterworks Rd, 1254"
12422,351,"2/123WAT - Waterworks Rd, 123, 2"
18598,546,"2/168WAT - Waterworks Rd, 168, 2"
31196,98,"2/263WAT - Waterworks Rd, 263, 2"
1115,509,"2/640WA - Waterworks Road, 640/2"
31071,265,"2/834WAT - Waterworks Rd, 834, 2"
52048,567,"2/871AWA - Waterworks Rd, 871A, 2"
40754,358,"3/123WAT - Waterworks Rd, 123, 3"
43211,82,"3/168WAT - Waterworks Rd, 168, 3"
41122,60,"3/263WAT - Waterworks Rd, 263, 3"
1176,25,"305WAT - Waterworks Rd, 305"
51472,541,"382AWAT - Waterworks Rd, 382A"
18768,430,"394WATE - Waterworks Road, 394"
9016,360,"4/123WAT - Waterworks Rd, 123, 4"
219,632,"4/287WAT - Waterworks Rd, 287, 4"
18806,639,"452WATE - Waterworks Rd, 452"
31008,361,"5/123WAT - Waterworks Rd, 123, 5"
18676,50,"5/229WAT - Waterworks Rd, 229, 5"
18625,9,"6/185WAT - Waterworks Rd, 185, 6"
18879,101,"647WATE - Waterworks Rd, 647"
23799,496,"834WATE - Waterworks Rd, 834"
18914,144,"23WEATH - Weatherhead Ave, 23"
12727,14,"46WEATH - Weatherhead Ave, 46"
40894,78,"1/15WELL - Wellington St, 15, 1"
50951,214,"1/22WELL - Wellington St, 22, 1"
18951,99,"22WESS - Wessex Lne, 22"
29324,492,"3/25WHIT - Whitta St, 25, 3"
41009,115,"11WILGA - Wilgarning St, 11"
36956,586,"3WILLA - Willandra St, 3"
31125,607,"37WILL - Willandra St, 37"
1208,8,"15WILL - Willowood Plc, 15"
12822,524,"1/121WIN - Windsor Rd, 121, 1"
10010,297,"1/35WIND - Windsor Rd, 35, 1"
12773,280,"121WINDS - Windsor Rd, 121"
41136,279,"2/121WIN - Windsor Rd, 121, 2"
18977,10,"25WOODL - Woodland St, 25"
18979,3,"28WOOD - Woodland St, 28"
18958,359,"5/2WOOD - Woodland St, 2, 5"
30083,240,"22WOOD - Woodmere St, 22"
12735,529,"45WOODSI - Woodside Street, 45"
25218,373,"12WOORAM - Woorama Road, 12"
3957,535,"78WOORA - Woorama Road, 78"
9069,332,"49YARRA - Yarrabee Rd, 49"
25289,484,"59YOORAL - Yoorala Street, 59"
42046,419,"91AYOOR - Yoorala St, 91a"
14110,271,"46GERL - Gerler St, 46"
44933,30,"29ELIZ - Elizabeth St, 29"
52886,252,"1/165SHE - Sherwood Rd, 165, 1"
7590,281,"30CELIA - Celia St, 30"
52877,288,"7HERB - Herbert St, 7"
36538,329,"118SAMF - Samford Rd, 118"
5203,313,"88MCLEA - McLean Pde, 88"
18024,37,"34STVIN - St Vincent St, 34"
25042,325,"7/35GLOB - Globe St, 35, 7"
50564,369,"204/99GR - Gregory Tce, 99, 204"
52927,38,6Antill
28977,85,39Morris
52881,254,"28LUDL - Ludlow St, 28"
52933,150,"5/32FLEM - Fleming Rd, 32, 5"
29345,406,31Bromwich
1461,340,72Jubilee
17742,362,"21PAVO - Pavonia St, 21"
7228,380,"689WATE - Waterworks Rd, 689"
7184,384,33Maygar
4027,310,"4/88ALDE - Alderley Ave, 88, 4"
20146,29,"30CEDAR - Cedarhurst St, 30"
52938,259,43/66Illowra
47777,309,4/26Scott
18273,415,37Trinder
